seed,ep,eps,reached,collided,min_clr,time_s
3,46,0.01,1,0,1.475,4.8
3,47,0.01,1,0,1.674,3.9
3,48,0.01,1,0,1.929,5.1
3,49,0.01,1,0,1.313,5.1
4,0,0.01,1,0,1.887,4.2
4,1,0.01,1,0,1.64,3.9
4,2,0.01,1,0,1.797,3.9
4,3,0.01,1,0,1.525,3.9
4,4,0.01,1,0,1.396,5.1
4,5,0.01,1,0,1.788,4.2
4,6,0.01,1,0,1.41,6.6
4,7,0.01,1,0,1.688,5.1
4,8,0.01,1,0,1.327,5.4
4,9,0.01,1,0,1.088,5.4
4,10,0.01,1,0,1.147,5.4
4,11,0.01,1,0,1.655,5.1
4,12,0.01,1,0,1.791,3.9
4,13,0.01,1,0,1.262,3.9
4,14,0.01,1,0,1.108,5.1
4,15,0.01,1,0,1.836,3.9
4,16,0.01,1,0,1.117,5.4
4,17,0.01,1,0,1.796,4.8
4,18,0.01,1,0,1.668,4.2
4,19,0.01,1,0,1.745,4.2
4,20,0.01,1,0,1.26,5.1
4,21,0.01,1,0,1.639,3.9
4,22,0.01,1,0,1.35,4.8
4,23,0.01,1,0,1.699,4.8
4,24,0.01,1,0,1.864,4.2
4,25,0.01,1,0,1.969,3.9
4,26,0.01,1,0,1.421,3.6
4,27,0.01,1,0,1.393,6.6
4,28,0.01,1,0,1.599,3.9
4,29,0.01,1,0,1.14,5.1
4,30,0.01,1,0,1.722,3.9
4,31,0.01,1,0,1.085,4.8
4,32,0.01,1,0,1.847,3.9
4,33,0.01,1,0,2.17,5.1
4,34,0.01,1,0,1.857,4.2
4,35,0.01,1,0,1.561,6.3
4,36,0.01,1,0,1.526,4.2
4,37,0.01,1,0,1.364,4.5
4,38,0.01,1,0,1.658,4.2
4,39,0.01,1,0,1.783,3.9
4,40,0.01,1,0,1.746,3.9
4,41,0.01,1,0,1.841,3.9
4,42,0.01,1,0,1.424,4.5
4,43,0.01,1,0,1.904,4.2
4,44,0.01,1,0,1.478,5.1
4,45,0.01,1,0,1.689,3.9
4,46,0.01,1,0,1.336,4.8
4,47,0.01,1,0,2.1,4.8
4,48,0.01,1,0,1.2,4.8
4,49,0.01,1,0,1.313,6.6
5,0,0.01,1,0,1.324,5.1
5,1,0.01,1,0,1.37,5.7
5,2,0.01,1,0,1.939,4.8
5,3,0.01,1,0,1.801,4.2
5,4,0.01,1,0,1.903,4.2
5,5,0.01,1,0,1.607,5.1
5,6,0.01,1,0,1.151,4.8
5,7,0.01,1,0,1.548,3.9
5,8,0.01,1,0,1.814,3.9
5,9,0.01,1,0,1.936,4.2
5,10,0.01,1,0,1.075,5.1
5,11,0.01,1,0,1.719,4.2
5,12,0.01,1,0,1.504,4.5
5,13,0.01,1,0,1.597,5.7
5,14,0.01,1,0,1.402,5.1
5,15,0.01,1,0,1.51,3.9
5,16,0.01,1,0,1.698,3.9
5,17,0.01,1,0,2.114,5.1
5,18,0.01,1,0,1.541,4.5
5,19,0.01,1,0,1.32,4.5
5,20,0.01,1,0,1.15,6.0
5,21,0.01,1,0,1.653,4.2
5,22,0.01,1,0,1.434,4.8
5,23,0.01,1,0,1.665,4.2
5,24,0.01,1,0,1.619,4.2
5,25,0.01,1,0,1.49,4.5
5,26,0.01,1,0,1.583,4.5
5,27,0.01,1,0,1.622,4.2
5,28,0.01,1,0,1.637,3.9
5,29,0.01,1,0,1.634,4.5
5,30,0.01,1,0,1.429,5.4
5,31,0.01,1,0,2.2,5.1
5,32,0.01,1,0,1.223,5.1
5,33,0.01,1,0,1.601,4.5
5,34,0.01,1,0,1.572,3.9
5,35,0.01,1,0,1.362,4.8
5,36,0.01,1,0,1.406,6.0
5,37,0.01,1,0,1.616,4.2
5,38,0.01,1,0,1.006,4.8
5,39,0.01,1,0,1.964,4.5
5,40,0.01,1,0,1.101,4.8
5,41,0.01,1,0,1.843,4.2
5,42,0.01,1,0,1.862,4.2
5,43,0.01,1,0,1.175,6.0
5,44,0.01,1,0,1.444,4.2
5,45,0.01,1,0,1.965,3.9
5,46,0.01,1,0,1.358,6.6
5,47,0.01,1,0,1.11,5.1
5,48,0.01,1,0,1.071,3.9
5,49,0.01,1,0,1.93,4.2
6,0,0.01,1,0,2.126,5.1
6,1,0.01,1,0,1.417,5.4
6,2,0.01,1,0,1.768,3.9
6,3,0.01,1,0,1.769,3.9
6,4,0.01,1,0,1.378,5.1
6,5,0.01,1,0,1.755,3.9
6,6,0.01,1,0,1.49,5.7
6,7,0.01,1,0,1.08,5.1
6,8,0.01,1,0,1.875,3.9
6,9,0.01,1,0,1.457,5.1
6,10,0.01,1,0,1.767,5.1
6,11,0.01,1,0,2.02,5.1
6,12,0.01,1,0,2.002,5.1
6,13,0.01,1,0,1.593,4.2
6,14,0.01,1,0,1.766,4.8
6,15,0.01,1,0,1.448,3.9
6,16,0.01,1,0,1.775,4.5
6,17,0.01,1,0,1.599,4.2
6,18,0.01,1,0,1.394,5.1
6,19,0.01,1,0,2.136,5.1
6,20,0.01,1,0,1.679,5.4
6,21,0.01,1,0,1.336,5.1
6,22,0.01,1,0,1.981,3.9
6,23,0.01,1,0,1.785,3.9
6,24,0.01,1,0,1.446,6.9
6,25,0.01,1,0,1.551,3.9
6,26,0.01,1,0,1.77,5.1
6,27,0.01,1,0,2.039,4.5
6,28,0.01,1,0,1.137,4.8
6,29,0.01,1,0,1.243,4.8
6,30,0.01,1,0,1.686,5.1
6,31,0.01,1,0,2.183,5.1
6,32,0.01,1,0,1.801,6.0
6,33,0.01,1,0,1.357,4.8
6,34,0.01,1,0,1.814,3.9
6,35,0.01,1,0,1.1,5.1
6,36,0.01,1,0,1.63,5.1
6,37,0.01,1,0,1.766,3.9
6,38,0.01,1,0,1.454,4.5
6,39,0.01,1,0,1.617,4.5
6,40,0.01,1,0,1.434,3.9
6,41,0.01,1,0,1.461,4.8
6,42,0.01,1,0,1.571,3.9
6,43,0.01,1,0,1.86,4.5
6,44,0.01,1,0,2.114,4.2
6,45,0.01,1,0,1.615,4.5
6,46,0.01,1,0,1.653,5.4
6,47,0.01,1,0,2.076,4.8
6,48,0.01,1,0,1.627,3.9
6,49,0.01,1,0,1.59,4.8
7,0,0.01,1,0,1.478,6.0
7,1,0.01,1,0,1.149,6.3
7,2,0.01,1,0,1.455,4.5
7,3,0.01,1,0,1.47,4.2
7,4,0.01,1,0,1.901,3.9
7,5,0.01,1,0,1.365,5.1
7,6,0.01,1,0,1.121,6.0
7,7,0.01,1,0,1.814,4.2
7,8,0.01,1,0,1.991,4.2
7,9,0.01,1,0,1.365,5.1
7,10,0.01,1,0,1.531,4.8
7,11,0.01,1,0,1.77,3.9
7,12,0.01,1,0,1.465,5.1
7,13,0.01,1,0,1.353,4.8
7,14,0.01,1,0,1.624,5.1
7,15,0.01,1,0,1.55,5.4
7,16,0.01,1,0,1.625,4.8
7,17,0.01,1,0,1.2,5.4
7,18,0.01,1,0,1.14,4.8
7,19,0.01,1,0,2.65,4.5
7,20,0.01,1,0,1.226,5.1
7,21,0.01,1,0,1.711,4.2
7,22,0.01,1,0,1.781,4.2
7,23,0.01,1,0,1.727,3.9
7,24,0.01,1,0,2.194,5.1
7,25,0.01,1,0,1.264,5.4
7,26,0.01,1,0,1.687,5.4
7,27,0.01,1,0,1.692,3.9
7,28,0.01,1,0,1.546,3.9
7,29,0.01,1,0,2.07,4.5
7,30,0.01,1,0,1.77,3.9
7,31,0.01,1,0,1.283,4.5
7,32,0.01,1,0,1.29,4.5
7,33,0.01,1,0,1.068,5.1
7,34,0.01,1,0,1.258,4.5
7,35,0.01,1,0,1.326,5.4
7,36,0.01,1,0,1.214,8.7
7,37,0.01,1,0,1.307,5.1
7,38,0.01,1,0,2.02,4.2
7,39,0.01,1,0,1.16,5.1
7,40,0.01,1,0,1.268,5.7
7,41,0.01,1,0,1.62,4.5
7,42,0.01,1,0,1.411,5.4
7,43,0.01,1,0,1.648,3.9
