seed,mode,reached,collided,hit_ped,hit_veh,hit_animal,hit_static,min_clr,ped_clr,veh_clr,animal_clr,static_clr,astar_fail,t_goal
61,ego,True,False,False,False,False,False,0.365,0.610,6.080,3.970,0.370,0,8.7
61,ours,True,False,False,False,False,False,0.538,1.340,6.800,4.170,0.540,0,8.9
62,ego,True,False,False,False,False,False,0.268,0.270,,6.040,0.420,0,8.9
62,ours,True,False,False,False,False,False,0.148,1.670,,2.130,0.150,0,9.1
63,ego,False,True,False,True,False,False,-0.238,4.510,-0.240,21.290,2.790,0,infs
63,ours,False,True,False,True,False,False,-0.378,4.510,-0.380,21.380,2.780,0,infs
64,ego,True,False,False,False,False,False,0.509,0.510,8.280,1.560,0.670,0,7.4
64,ours,True,False,False,False,False,False,0.673,1.580,14.000,1.880,0.670,0,8.8
65,ego,True,False,False,False,False,False,0.208,0.210,,1.670,1.110,0,9.7
65,ours,False,True,False,False,False,True,-0.159,0.930,,14.430,-0.160,0,infs
66,ego,False,True,True,False,False,False,-0.242,-0.240,25.140,3.470,0.090,0,infs
66,ours,True,False,False,False,False,False,0.093,0.900,24.710,2.870,0.090,0,10.0
67,ego,False,True,False,False,False,True,-0.426,1.080,18.790,15.040,-0.430,0,infs
67,ours,True,False,False,False,False,False,0.227,1.370,17.670,1.750,0.230,0,13.3
68,ego,True,False,False,False,False,False,0.037,0.260,23.430,0.640,0.040,0,8.3
68,ours,True,False,False,False,False,False,0.331,1.290,25.720,1.930,0.330,0,9.5
69,ego,True,False,False,False,False,False,0.590,0.590,16.280,3.280,6.500,0,9.8
69,ours,True,False,False,False,False,False,1.211,1.210,16.280,1.230,8.750,0,10.9
70,ego,True,False,False,False,False,False,0.192,1.360,1.370,2.450,0.190,0,9.2
70,ours,True,False,False,False,False,False,0.260,1.420,2.060,3.050,0.260,0,9.7
71,ego,True,False,False,False,False,False,0.361,0.360,25.100,3.190,0.380,0,8.8
71,ours,True,False,False,False,False,False,0.113,0.460,25.100,2.350,0.110,0,10.9
72,ego,False,True,False,True,False,False,-0.454,0.500,-0.450,3.510,0.140,0,infs
72,ours,True,False,False,False,False,False,0.208,1.220,10.210,2.530,0.210,0,10.6
73,ego,True,False,False,False,False,False,0.329,0.460,2.630,1.760,0.330,0,9.4
73,ours,True,False,False,False,False,False,0.455,1.350,2.850,1.570,0.460,0,10.1
74,ego,True,False,False,False,False,False,0.212,1.590,17.580,0.210,0.490,0,7.9
