seed,mode,reached,collided,dnf,hit_ped,hit_veh,hit_animal,hit_static,min_clr,ped_clr,veh_clr,animal_clr,static_clr,astar_fail,t_goal
52,ours,True,False,False,False,False,False,False,0.442,3.050,,2.720,0.440,0,9.4
53,ego,True,False,False,False,False,False,False,0.676,0.680,,1.230,7.760,0,9.7
53,ours,True,False,False,False,False,False,False,2.230,2.230,,2.270,7.760,0,9.7
54,ego,False,True,False,False,False,False,True,-0.331,0.680,,0.310,-0.330,0,infs
54,ours,True,False,False,False,False,False,False,0.494,1.400,,3.210,0.490,0,10.5
55,ego,False,True,False,False,False,False,True,-0.313,0.800,5.150,3.010,-0.310,0,infs
55,ours,False,True,False,False,False,False,True,-0.053,1.260,3.280,1.600,-0.050,0,infs
56,ego,False,True,False,False,True,False,False,-0.329,0.850,-0.330,6.740,1.490,0,infs
56,ours,False,True,False,False,True,False,False,-0.097,1.280,-0.100,7.870,0.100,0,infs
57,ego,False,True,False,False,False,False,True,-0.035,1.230,11.800,3.030,-0.030,0,infs
57,ours,True,False,False,False,False,False,False,0.342,1.630,10.310,4.120,0.340,0,10.5
58,ego,False,True,False,False,False,False,True,-0.410,9.260,3.060,,-0.410,0,infs
58,ours,False,True,False,False,False,False,True,-0.070,1.390,2.430,4.290,-0.070,0,infs
59,ego,True,False,False,False,False,False,False,0.570,0.570,8.640,3.330,1.900,0,9.0
59,ours,True,False,False,False,False,False,False,0.509,1.490,7.470,2.650,0.510,0,10.1
60,ego,True,False,False,False,False,False,False,0.396,2.120,6.990,0.930,0.400,0,9.7
60,ours,True,False,False,False,False,False,False,0.540,2.120,7.200,1.580,0.540,0,9.7
61,ego,True,False,False,False,False,False,False,0.365,0.610,6.080,3.970,0.370,0,8.7
61,ours,True,False,False,False,False,False,False,0.538,1.630,6.800,4.170,0.540,0,8.6
62,ego,True,False,False,False,False,False,False,0.268,0.270,,6.040,0.420,0,8.9
62,ours,True,False,False,False,False,False,False,0.148,2.650,,3.270,0.150,0,10.3
63,ego,False,True,False,False,True,False,False,-0.238,4.510,-0.240,21.290,2.790,0,infs
63,ours,False,True,False,False,True,False,False,-0.452,4.510,-0.450,21.420,2.770,0,infs
64,ego,True,False,False,False,False,False,False,0.509,0.510,8.280,1.560,0.670,0,7.4
64,ours,True,False,False,False,False,False,False,0.477,2.100,18.110,0.750,0.480,88,13.7
65,ego,True,False,False,False,False,False,False,0.208,0.210,,1.670,1.110,0,9.7
65,ours,True,False,False,False,False,False,False,0.441,1.480,,2.190,0.440,0,10.5
66,ego,False,True,False,True,False,False,False,-0.242,-0.240,25.140,3.470,0.090,0,infs
66,ours,True,False,False,False,False,False,False,0.093,1.850,24.710,3.330,0.090,0,10.5
67,ego,False,True,False,False,False,False,True,-0.426,1.080,18.790,15.040,-0.430,0,infs
67,ours,True,False,False,False,False,False,False,0.429,1.260,18.790,2.040,0.430,0,9.7
68,ego,True,False,False,False,False,False,False,0.037,0.260,23.430,0.640,0.040,0,8.3
68,ours,True,False,False,False,False,False,False,0.343,1.610,25.630,2.500,0.340,0,10.6
69,ego,True,False,False,False,False,False,False,0.590,0.590,16.280,3.280,6.500,0,9.8
69,ours,True,False,False,False,False,False,False,1.243,1.240,16.280,2.520,8.400,0,11.6
70,ego,True,False,False,False,False,False,False,0.192,1.360,1.370,2.450,0.190,0,9.2
70,ours,True,False,False,False,False,False,False,0.381,1.390,2.060,2.660,0.380,0,9.5
71,ego,True,False,False,False,False,False,False,0.361,0.360,25.100,3.190,0.380,0,8.8
71,ours,True,False,False,False,False,False,False,0.155,1.690,25.090,2.120,0.160,0,11.1
72,ego,False,True,False,False,True,False,False,-0.473,0.500,-0.470,3.510,0.140,0,infs
72,ours,True,False,False,False,False,False,False,0.363,1.520,6.430,3.320,0.360,0,10.9
73,ego,True,False,False,False,False,False,False,0.329,0.460,2.630,1.760,0.330,0,9.4
73,ours,True,False,False,False,False,False,False,0.373,1.190,2.960,1.940,0.370,0,10.6
74,ego,True,False,False,False,False,False,False,0.212,1.590,17.580,0.210,0.490,0,7.9
74,ours,False,True,False,False,False,False,True,-0.024,1.630,22.180,1.560,-0.020,0,infs
75,ego,False,True,False,False,False,False,True,-0.603,0.330,1.410,0.580,-0.600,0,infs
75,ours,False,True,False,False,False,False,True,-0.017,2.240,11.320,23.150,-0.020,0,infs
76,ego,False,True,False,False,False,True,False,-0.023,0.960,3.590,-0.020,0.110,0,infs
76,ours,False,True,False,False,False,False,True,-0.110,1.420,2.690,11.540,-0.110,0,infs
77,ego,True,False,False,False,False,False,False,0.108,1.960,,0.610,0.110,0,8.5
77,ours,True,False,False,False,False,False,False,0.108,1.960,,1.330,0.110,0,8.6
78,ego,True,False,False,False,False,False,False,0.089,2.530,0.090,0.160,0.550,0,8.1
78,ours,False,True,False,False,False,False,True,-0.042,2.540,0.250,2.010,-0.040,0,infs
79,ego,True,False,False,False,False,False,False,0.437,0.760,14.960,0.440,0.560,0,9.4
79,ours,True,False,False,False,False,False,False,0.462,1.750,14.960,2.990,0.460,0,9.5
80,ego,True,False,False,False,False,False,False,0.348,0.440,1.120,0.570,0.350,0,9.8
