planner,safety,seed,ep,max_vel,eps,reached,collided,min_clr,time_s,max_z,n_hold,dynamics
ego,off,5,1,4.0,0.05,True,0,1.586,2.4,1.85,0,1
ego,off,5,2,4.0,0.05,True,0,2.856,3.0,1.87,0,1
ego,off,5,3,4.0,0.05,True,0,1.787,3.6,4.55,0,1
ego,off,5,4,4.0,0.05,True,0,1.333,3.0,2.23,0,1
ego,off,5,5,4.0,0.05,True,0,3.07,3.3,4.33,0,1
ego,off,6,0,4.0,0.05,True,0,2.576,3.6,3.06,0,1
ego,off,6,1,4.0,0.05,True,0,2.532,3.6,3.15,0,1
ego,off,6,2,4.0,0.05,True,0,2.368,3.3,2.08,0,1
ego,off,6,3,4.0,0.05,True,0,0.569,5.4,1.73,0,1
ego,off,6,4,4.0,0.05,True,0,0.683,5.7,4.31,0,1
ego,off,6,5,4.0,0.05,True,1,-0.153,4.5,1.56,0,1
ego,off,7,0,4.0,0.05,True,0,2.788,3.0,1.85,0,1
ego,off,7,1,4.0,0.05,True,0,3.086,3.6,4.23,0,1
ego,off,7,2,4.0,0.05,True,0,3.294,3.6,5.02,0,1
ego,off,7,3,4.0,0.05,True,0,1.263,3.0,2.21,0,1
ego,off,7,4,4.0,0.05,True,0,0.739,4.2,2.07,0,1
ego,off,7,5,4.0,0.05,True,0,1.466,3.3,4.0,0,1
ego,off,8,0,4.0,0.05,True,0,2.97,3.3,3.31,0,1
ego,off,8,1,4.0,0.05,True,0,0.813,7.2,3.83,0,1
ego,off,8,2,4.0,0.05,True,0,2.715,3.6,2.28,0,1
ego,off,8,3,4.0,0.05,False,0,0.927,15.6,1.51,0,1
ego,off,8,4,4.0,0.05,True,1,-0.103,6.9,2.01,0,1
ego,off,8,5,4.0,0.05,True,0,3.071,4.2,5.86,0,1
ego,off,9,0,4.0,0.05,True,0,1.015,3.0,2.07,0,1
ego,off,9,1,4.0,0.05,True,0,4.6,3.0,2.54,0,1
ego,off,9,2,4.0,0.05,True,0,0.048,6.3,1.55,0,1
ego,off,9,3,4.0,0.05,True,0,0.837,6.3,2.76,0,1
ego,off,9,4,4.0,0.05,True,0,1.482,3.3,1.53,0,1
ego,off,9,5,4.0,0.05,True,0,1.787,3.6,3.79,0,1
