seed,mode,reached,collided,hit_ped,hit_veh,hit_animal,hit_static,min_clr,ped_clr,veh_clr,animal_clr,static_clr,astar_fail,t_goal
49,ours,True,False,False,False,False,False,0.541,2.48,28.32,2.14,0.54,0,9.6
49,ego,True,False,False,False,False,False,0.558,2.92,27.77,0.56,0.6,0,9.8
50,ours,True,False,False,False,False,False,0.240,4.55,21.42,2.42,0.24,0,9.2
50,ego,True,False,False,False,False,False,0.241,3.86,21.42,2.42,0.24,0,8.8
51,ours,True,False,False,False,False,False,0.273,0.91,1.26,1.5,0.27,0,11.5
51,ego,False,True,False,True,False,False,-0.296,4.17,-0.3,22.29,4.41,0,infs
52,ours,True,False,False,False,False,False,0.668,2.6,,2.23,0.67,0,8.6
52,ego,True,False,False,False,False,False,0.392,2.94,,0.46,0.39,0,8.6
53,ours,True,False,False,False,False,False,1.080,1.08,,2.63,7.67,0,9.8
53,ego,True,False,False,False,False,False,0.676,0.68,,1.23,7.76,0,9.7
54,ours,True,False,False,False,False,False,0.609,1.62,,2.57,0.61,0,9.8
54,ego,False,True,False,False,False,True,-0.331,0.68,,0.31,-0.33,0,infs
55,ours,False,True,False,False,False,True,-0.016,0.53,3.12,10.32,-0.02,1,infs
55,ego,False,True,False,False,False,True,-0.313,0.8,5.15,3.01,-0.31,0,infs
56,ours,False,True,False,True,False,False,-0.118,1.46,-0.12,8.01,1.26,0,infs
56,ego,False,True,False,True,False,False,-0.321,0.85,-0.32,6.74,1.49,0,infs
57,ours,True,False,False,False,False,False,0.137,1.23,5.37,6.27,0.14,0,11.1
57,ego,False,True,False,False,False,True,-0.035,1.23,11.8,3.03,-0.03,0,infs
58,ours,True,False,False,False,False,False,0.300,0.69,2.42,1.58,0.3,0,9.2
58,ego,False,True,False,False,False,True,-0.410,9.26,3.06,,-0.41,0,infs
59,ours,True,False,False,False,False,False,0.578,1.11,8.22,0.99,0.58,0,10.9
59,ego,True,False,False,False,False,False,0.570,0.57,8.64,3.33,1.9,0,9.0
60,ours,True,False,False,False,False,False,0.149,2.12,7.43,1.32,0.15,137,10.5
60,ego,True,False,False,False,False,False,0.396,2.12,6.99,0.93,0.4,0,9.7
