vmax,seed,ep,n_movers,ours_reach,ours_t,ours_clr,ours_coll,ego_reach,ego_t,ego_clr,ego_coll,sando_reach,sando_t,sando_clr,sando_coll
3.0,14,3,2,1,6.0,1.217,0,1,6.9,0.42,0,0,21.0,2.042,0
3.0,14,4,3,1,5.7,1.447,0,1,5.1,0.87,0,0,25.5,3.04,0
3.0,14,5,1,1,5.4,1.153,0,1,6.9,0.05,0,0,22.5,2.435,0
3.0,15,0,3,1,5.4,1.316,0,1,7.2,0.042,0,0,28.2,3.771,0
3.0,15,1,2,1,5.4,1.448,0,1,5.1,0.877,0,0,26.4,1.389,0
3.0,15,2,2,1,5.7,1.596,0,1,6.6,0.164,0,0,16.8,2.953,0
3.0,15,3,4,1,5.4,1.75,0,1,6.3,1.299,0,0,15.3,0.61,0
3.0,15,4,1,1,5.7,1.63,0,1,5.7,0.477,0,0,16.2,-0.542,1
3.0,15,5,9,1,5.7,0.937,0,1,6.9,0.498,0,0,29.7,1.427,0
3.0,16,0,5,1,5.1,1.569,0,1,6.9,0.17,0,0,18.9,3.031,0
3.0,16,1,3,1,6.0,1.374,0,1,7.8,-0.113,1,0,14.1,2.278,0
3.0,16,2,5,1,5.1,1.472,0,1,9.9,0.148,0,0,28.5,2.769,0
3.0,16,3,2,1,5.7,2.031,0,1,6.3,0.466,0,0,21.9,1.637,0
3.0,16,4,2,1,5.4,1.533,0,1,5.1,0.863,0,0,18.3,1.998,0
3.0,16,5,1,1,6.0,1.829,0,1,7.2,0.315,0,0,16.8,2.324,0
3.0,17,0,1,1,4.8,1.53,0,1,6.9,-0.27,1,0,19.5,4.105,0
3.0,17,1,3,1,5.1,1.635,0,1,7.2,0.107,0,0,15.3,2.611,0
3.0,17,2,2,1,6.0,1.209,0,1,5.1,1.053,0,0,21.9,2.697,0
3.0,17,3,2,1,5.7,1.401,0,1,6.6,0.489,0,0,20.1,1.769,0
3.0,17,4,3,1,7.5,1.018,0,1,6.0,0.295,0,0,18.6,0.024,0
3.0,17,5,1,1,5.7,1.436,0,1,6.9,0.46,0,0,24.6,2.932,0
3.0,18,0,2,1,5.4,2.089,0,1,6.3,0.432,0,0,14.7,1.386,0
3.0,18,1,1,1,6.3,1.188,0,1,5.7,-0.093,1,0,14.7,0.338,0
3.0,18,2,3,1,6.3,0.931,0,1,6.6,-0.277,1,0,22.5,0.723,0
3.0,18,3,1,1,5.4,1.347,0,1,5.1,0.861,0,0,16.8,3.513,0
3.0,18,4,2,1,5.1,1.833,0,1,7.2,-0.008,1,0,19.2,1.907,0
3.0,18,5,2,1,5.7,1.318,0,1,6.9,-0.142,1,0,26.1,2.354,0
3.0,19,0,1,1,6.0,1.65,0,1,5.7,0.289,0,0,15.6,-0.267,1
3.0,19,1,2,1,6.9,1.661,0,1,7.2,0.452,0,0,26.4,2.207,0
3.0,19,2,2,1,5.1,1.918,0,1,5.1,1.323,0,0,18.9,2.572,0
3.0,19,3,1,1,5.4,1.291,0,1,6.9,-0.027,1,0,17.4,3.079,0
3.0,19,4,2,1,6.3,1.251,0,1,5.1,0.804,0,0,14.7,2.193,0
3.0,19,5,3,1,5.7,1.927,0,1,5.4,1.279,0,0,23.1,1.676,0
4.0,0,0,1,1,4.5,1.165,0,1,6.3,0.179,0,0,18.6,2.446,0
4.0,0,1,2,1,4.8,1.399,0,1,4.2,1.23,0,0,21.0,1.775,0
4.0,0,2,2,1,4.2,1.497,0,1,4.2,1.611,0,0,37.5,2.093,0
4.0,0,3,2,1,4.5,1.441,0,1,6.0,-0.111,1,0,32.4,1.429,0
4.0,0,4,1,1,5.1,1.189,0,1,6.0,0.056,0,0,20.7,2.187,0
4.0,0,5,2,1,3.9,1.737,0,1,3.9,0.355,0,0,25.2,1.273,0
4.0,1,0,3,1,4.5,1.355,0,1,3.9,0.779,0,0,23.4,2.355,0
4.0,1,1,2,1,3.9,1.508,0,1,3.9,1.474,0,0,17.1,2.232,0
4.0,1,2,1,1,4.5,1.32,0,1,6.3,-0.023,1,0,16.5,3.009,0
4.0,1,3,1,1,3.9,1.482,0,1,3.9,1.298,0,0,17.1,2.113,0
4.0,1,4,4,1,5.7,1.656,0,1,3.9,0.789,0,0,35.1,1.834,0
4.0,1,5,2,1,4.5,1.466,0,1,5.7,0.51,0,0,14.4,1.433,0
4.0,2,0,2,1,3.9,1.454,0,1,4.8,0.765,0,0,17.4,3.585,0
4.0,2,1,2,1,6.3,1.443,0,1,6.0,0.035,0,0,21.0,2.927,0
4.0,2,2,2,1,5.4,1.539,0,1,3.9,0.959,0,0,35.4,0.372,0
4.0,2,3,4,1,6.3,0.868,0,1,3.9,0.865,0,0,14.4,0.455,0
4.0,2,4,1,1,4.5,1.671,0,1,3.9,0.774,0,0,16.5,2.633,0
4.0,2,5,2,1,6.9,0.953,0,1,4.2,1.066,0,0,20.1,1.876,0
4.0,3,0,2,1,5.1,2.022,0,1,5.4,1.172,0,0,13.8,2.656,0
4.0,3,1,2,1,4.8,1.175,0,1,3.9,1.629,0,0,15.6,3.476,0
4.0,3,2,1,1,3.9,1.724,0,1,3.9,0.809,0,0,24.9,3.728,0
4.0,3,3,2,1,6.6,1.412,0,1,6.6,-0.02,1,0,16.2,2.209,0
4.0,3,4,2,1,4.5,1.266,0,1,6.3,-0.081,1,0,32.7,3.258,0
4.0,3,5,5,1,4.8,1.207,0,1,9.3,-0.084,1,0,22.2,1.321,0
4.0,4,0,3,1,3.9,1.822,0,1,6.0,0.13,0,0,17.4,1.502,0
4.0,4,1,1,1,3.9,1.644,0,1,9.9,-0.193,1,0,25.2,3.016,0
4.0,4,2,2,1,3.9,1.9,0,1,6.0,0.048,0,0,17.4,3.096,0
4.0,4,3,1,1,5.4,1.263,0,1,6.0,0.064,0,0,14.7,1.643,0
4.0,4,4,3,1,5.4,1.666,0,1,4.2,0.964,0,0,14.4,1.678,0
4.0,4,5,1,1,4.2,1.814,0,1,4.2,1.299,0,0,21.6,2.302,0
4.0,5,0,2,1,4.2,1.596,0,1,3.9,0.951,0,0,29.4,1.01,0
4.0,5,1,3,1,4.5,1.789,0,1,6.3,0.157,0,0,17.4,2.348,0
4.0,5,2,1,1,5.1,1.369,0,1,5.7,-0.211,1,0,14.4,3.005,0
4.0,5,3,4,1,5.1,1.309,0,1,3.9,1.503,0,0,22.2,1.847,0
4.0,5,4,1,1,3.9,1.347,0,1,3.9,0.748,0,0,14.7,1.267,0
4.0,5,5,1,1,4.5,1.32,0,1,6.0,-0.012,1,0,23.4,2.008,0
4.0,6,0,1,1,4.8,1.984,0,1,6.0,-0.048,1,0,20.1,2.821,0
4.0,6,1,2,1,5.1,1.427,0,1,6.0,0.062,0,0,25.2,1.773,0
4.0,6,2,3,1,5.1,1.19,0,1,6.0,0.479,0,0,14.4,2.564,0
4.0,6,3,2,1,3.9,1.463,0,1,3.9,1.006,0,0,29.7,2.04,0
4.0,6,4,1,1,4.8,1.431,0,1,3.6,0.991,0,0,28.2,3.363,0
4.0,6,5,1,1,3.9,1.568,0,1,3.6,1.127,0,0,14.7,1.707,0
4.0,7,0,2,1,6.6,1.672,0,1,6.3,0.505,0,0,22.5,1.121,0
4.0,7,1,3,1,4.2,1.21,0,1,3.9,0.833,0,0,16.5,1.48,0
4.0,7,2,3,1,3.9,1.67,0,1,3.9,0.972,0,0,19.2,1.877,0
4.0,7,3,8,1,3.9,1.457,0,1,3.9,0.94,0,0,17.1,0.536,0
4.0,7,4,1,1,3.9,1.459,0,1,3.9,1.112,0,0,16.2,1.065,0
4.0,7,5,3,1,6.6,1.281,0,1,6.3,0.04,0,0,19.2,2.469,0
4.0,8,0,3,1,4.2,1.562,0,1,4.2,1.079,0,0,19.5,0.555,0
4.0,8,1,5,1,4.2,1.618,0,0,13.5,-0.277,1,0,13.5,0.82,0
4.0,8,2,5,1,3.9,1.529,0,1,3.9,0.912,0,0,18.0,2.035,0
4.0,8,3,2,1,3.9,1.511,0,1,4.5,0.807,0,0,14.4,3.303,0
4.0,8,4,3,1,3.9,1.339,0,1,3.9,0.877,0,0,20.7,1.251,0
