seed,mode,reached,collided,dnf,hit_ped,hit_veh,hit_animal,hit_static,min_clr,ped_clr,veh_clr,animal_clr,static_clr,astar_fail,t_goal
66,ours,True,False,False,False,False,False,False,0.407,1.140,24.680,2.610,0.410,0,10.5
67,ego,False,True,False,False,False,False,True,-0.107,0.490,18.810,15.290,-0.110,0,infs
67,ours,True,False,False,False,False,False,False,0.599,1.780,18.850,3.250,0.600,0,11.3
68,ego,False,True,False,False,False,False,False,-0.004,2.760,,21.540,-0.000,0,infs
68,ours,True,False,False,False,False,False,False,0.453,2.090,25.840,2.750,0.450,0,8.8
69,ego,True,False,False,False,False,False,False,0.590,0.590,16.280,3.280,6.500,0,9.8
69,ours,True,False,False,False,False,False,False,1.309,1.310,16.280,2.390,8.340,0,10.5
70,ego,True,False,False,False,False,False,False,0.295,1.190,0.840,1.320,0.300,0,8.9
70,ours,True,False,False,False,False,False,False,0.199,1.390,2.060,4.160,0.200,0,9.9
71,ego,True,False,False,False,False,False,False,0.023,0.530,25.090,0.470,0.020,0,9.1
71,ours,True,False,False,False,False,False,False,0.298,1.260,25.050,1.900,0.300,0,10.8
72,ego,False,True,False,False,False,False,True,-0.098,0.500,10.820,3.510,-0.100,0,infs
72,ours,True,False,False,False,False,False,False,0.445,1.280,10.430,4.230,0.440,0,11.3
73,ego,True,False,False,False,False,False,False,0.359,1.710,2.340,1.140,0.360,0,9.4
73,ours,True,False,False,False,False,False,False,0.494,1.180,9.130,1.790,0.490,0,10.5
74,ego,True,False,False,False,False,False,False,0.212,1.590,17.580,0.210,0.490,0,7.9
74,ours,True,False,False,False,False,False,False,0.166,1.620,21.890,0.550,0.170,194,11.0
75,ego,False,True,False,False,False,False,True,-0.308,0.430,0.440,0.370,-0.310,0,infs
75,ours,False,True,False,False,False,False,True,-0.352,2.230,2.130,1.440,-0.350,0,infs
76,ego,True,False,False,False,False,False,False,0.120,0.960,3.590,0.290,0.120,0,7.9
76,ours,True,False,False,False,False,False,False,0.460,0.960,3.590,1.580,0.460,0,8.4
77,ego,True,False,False,False,False,False,False,0.206,1.960,,1.070,0.210,0,8.5
77,ours,True,False,False,False,False,False,False,0.894,1.900,,2.250,0.890,0,9.0
78,ego,False,True,False,False,False,False,True,-0.015,2.530,0.090,0.160,-0.010,0,infs
78,ours,True,False,False,False,False,False,False,0.074,1.250,0.070,4.000,0.960,0,10.3
79,ego,True,False,False,False,False,False,False,0.348,0.810,14.960,0.350,0.670,0,9.4
79,ours,True,False,False,False,False,False,False,0.483,1.610,14.960,2.760,0.480,0,9.6
80,ego,True,False,False,False,False,False,False,0.290,1.500,0.560,0.290,0.300,0,9.5
80,ours,True,False,False,False,False,False,False,0.494,1.010,5.160,3.520,0.490,0,12.2
81,ego,True,False,False,False,False,False,False,0.111,0.310,,0.550,0.110,0,9.5
81,ours,True,False,False,False,False,False,False,0.502,1.730,,4.610,0.500,3,9.8
82,ego,True,False,False,False,False,False,False,0.531,0.730,5.530,1.050,0.530,0,9.5
82,ours,True,False,False,False,False,False,False,0.714,1.490,6.190,1.580,0.710,0,9.5
83,ego,False,True,False,False,False,False,True,-0.083,0.960,,12.000,-0.080,0,infs
83,ours,True,False,False,False,False,False,False,0.400,1.210,,2.620,0.400,94,9.7
84,ego,True,False,False,False,False,False,False,0.055,0.050,,1.720,1.170,0,9.7
84,ours,True,False,False,False,False,False,False,1.316,1.320,,2.380,3.400,0,10.8
85,ego,True,False,False,False,False,False,False,0.567,0.810,14.580,1.120,0.570,0,9.3
85,ours,True,False,False,False,False,False,False,0.034,1.330,10.890,4.290,0.030,20,10.9
86,ego,False,True,False,False,False,False,True,-0.044,0.210,14.720,0.460,-0.040,0,infs
86,ours,True,False,False,False,False,False,False,0.443,1.360,12.490,2.060,0.440,0,12.2
87,ego,True,False,False,False,False,False,False,0.400,0.570,,0.400,1.820,0,8.4
87,ours,False,True,False,True,False,False,False,-0.052,-0.050,,2.600,0.650,1144,infs
88,ego,True,False,False,False,False,False,False,0.323,0.450,,0.320,1.350,0,9.2
88,ours,True,False,False,False,False,False,False,1.648,1.740,,1.970,1.650,0,11.6
89,ego,True,False,False,False,False,False,False,0.528,0.720,,2.450,0.530,0,9.0
89,ours,True,False,False,False,False,False,False,1.276,1.380,,3.420,1.280,0,9.1
90,ego,True,False,False,False,False,False,False,0.216,0.220,,1.690,0.640,0,8.8
90,ours,True,False,False,False,False,False,False,0.559,0.970,,3.220,0.560,0,9.3
91,ego,True,False,False,False,False,False,False,0.303,0.380,11.570,1.490,0.300,0,9.3
91,ours,True,False,False,False,False,False,False,0.291,1.240,6.620,2.820,0.290,0,9.6
92,ego,True,False,False,False,False,False,False,0.214,0.210,5.930,0.720,3.140,0,7.4
92,ours,True,False,False,False,False,False,False,0.992,0.990,7.560,2.400,2.470,0,8.7
93,ego,True,False,False,False,False,False,False,0.071,0.250,16.110,3.600,0.070,0,8.9
93,ours,True,False,False,False,False,False,False,0.591,1.710,8.620,2.470,0.590,0,10.1
94,ego,True,False,False,False,False,False,False,0.365,0.370,7.980,0.770,0.550,0,9.7
94,ours,True,False,False,False,False,False,False,0.655,1.960,7.980,2.620,0.660,0,10.5
95,ego,True,False,False,False,False,False,False,0.416,1.140,9.910,5.000,0.420,0,9.3
95,ours,True,False,False,False,False,False,False,0.456,1.290,3.660,1.280,0.460,0,9.1
96,ego,True,False,False,False,False,False,False,0.247,0.430,,0.880,0.250,0,8.6
96,ours,True,False,False,False,False,False,False,0.598,1.490,27.630,4.240,0.600,0,9.6
97,ego,True,False,False,False,False,False,False,0.193,0.190,11.950,1.070,0.280,0,8.4
97,ours,True,False,False,False,False,False,False,0.570,1.520,6.150,1.800,0.570,0,8.2
98,ego,True,False,False,False,False,False,False,0.263,0.820,,0.970,0.260,0,9.6
98,ours,True,False,False,False,False,False,False,0.601,1.410,,1.080,0.600,0,10.2
99,ego,False,True,False,True,False,False,False,-0.156,-0.160,1.630,0.390,0.280,1,infs
99,ours,True,False,False,False,False,False,False,0.669,1.120,1.830,2.820,0.670,0,10.0
