seed,mode,reached,collided,hit_ped,hit_veh,hit_animal,hit_static,min_clr,ped_clr,veh_clr,animal_clr,static_clr,astar_fail,t_goal
71,ours,True,False,False,False,False,False,0.720,1.200,25.050,1.470,0.720,0,8.9
72,ego,False,True,False,True,False,False,-0.454,0.500,-0.450,3.510,0.140,0,infs
72,ours,True,False,False,False,False,False,0.036,1.670,16.020,2.330,0.040,1,12.2
73,ego,True,False,False,False,False,False,0.329,0.460,2.630,1.760,0.330,0,9.4
73,ours,True,False,False,False,False,False,0.354,1.400,4.150,1.640,0.350,0,10.3
74,ego,True,False,False,False,False,False,0.212,1.590,17.580,0.210,0.490,0,7.9
74,ours,True,False,False,False,False,False,0.241,1.860,20.400,1.340,0.240,0,9.0
75,ego,False,True,False,False,False,True,-0.603,0.330,1.410,0.580,-0.600,0,infs
75,ours,False,True,False,False,False,True,-0.117,1.330,2.600,2.800,-0.120,0,infs
76,ego,False,True,False,False,True,False,-0.023,0.960,3.590,-0.020,0.110,0,infs
76,ours,True,False,False,False,False,False,0.226,1.140,1.870,4.070,0.230,3,9.6
77,ego,True,False,False,False,False,False,0.108,1.960,,0.610,0.110,0,8.5
77,ours,True,False,False,False,False,False,0.206,1.770,,1.840,0.210,0,8.6
78,ego,True,False,False,False,False,False,0.089,2.530,0.090,0.160,0.550,0,8.1
78,ours,True,False,False,False,False,False,0.454,1.250,0.450,2.120,0.540,0,13.5
79,ego,True,False,False,False,False,False,0.437,0.760,14.960,0.440,0.560,0,9.4
79,ours,True,False,False,False,False,False,1.518,1.520,14.960,1.740,1.730,0,10.1
80,ego,True,False,False,False,False,False,0.348,0.440,1.120,0.570,0.350,0,9.8
80,ours,NA,NA,False,False,False,False,NA,,,,,4531,NA
81,ego,False,True,False,False,False,True,-0.144,0.640,,22.900,-0.140,0,infs
81,ours,True,False,False,False,False,False,0.234,1.510,,2.650,0.230,0,9.9
82,ego,True,False,False,False,False,False,0.531,0.730,5.530,1.050,0.530,0,9.5
82,ours,True,False,False,False,False,False,0.624,0.810,6.750,2.150,0.620,0,9.5
83,ego,True,False,False,False,False,False,0.101,0.100,,0.200,0.440,0,8.5
83,ours,True,False,False,False,False,False,0.133,1.260,,2.290,0.130,0,8.9
84,ego,True,False,False,False,False,False,0.055,0.050,,1.720,1.050,0,9.7
84,ours,True,False,False,False,False,False,1.006,1.010,,1.990,2.850,0,9.8
85,ego,True,False,False,False,False,False,0.567,0.810,14.510,0.700,0.570,0,9.4
85,ours,True,False,False,False,False,False,0.533,1.650,7.820,3.100,0.530,0,9.8
86,ego,False,True,False,False,False,True,-0.486,0.210,14.370,0.620,-0.490,0,infs
86,ours,True,False,False,False,False,False,0.386,1.150,4.760,2.380,0.390,0,11.3
87,ego,True,False,False,False,False,False,0.400,0.570,,0.400,1.820,0,8.4
87,ours,True,False,False,False,False,False,0.595,1.610,,1.730,0.590,0,8.5
88,ego,True,False,False,False,False,False,0.323,0.450,,0.320,1.350,0,9.2
88,ours,True,False,False,False,False,False,1.207,1.210,,1.800,1.650,0,10.9
89,ego,True,False,False,False,False,False,0.515,0.520,,2.510,0.620,0,9.0
89,ours,True,False,False,False,False,False,0.163,1.190,,5.580,0.160,0,11.6
90,ego,False,True,False,False,False,True,-0.038,0.910,,15.490,-0.040,0,infs
90,ours,True,False,False,False,False,False,0.338,1.570,,3.490,0.340,348,10.4
91,ego,True,False,False,False,False,False,0.313,0.310,11.600,1.560,0.420,0,9.3
91,ours,True,False,False,False,False,False,0.610,1.190,7.910,2.270,0.610,0,10.2
92,ego,True,False,False,False,False,False,0.214,0.210,5.930,0.720,3.140,0,7.4
92,ours,True,False,False,False,False,False,0.881,0.880,8.220,1.500,3.060,1,9.6
93,ego,False,True,False,False,False,True,-0.111,0.300,,5.570,-0.110,0,infs
93,ours,True,False,False,False,False,False,1.029,1.120,14.860,2.550,1.030,0,9.1
94,ego,True,False,False,False,False,False,0.252,0.250,7.980,0.300,0.550,0,9.7
94,ours,True,False,False,False,False,False,0.552,1.610,7.980,2.200,0.550,0,10.6
95,ego,True,False,False,False,False,False,0.395,1.140,9.940,4.940,0.400,0,9.4
95,ours,True,False,False,False,False,False,0.856,0.920,1.390,1.440,0.860,0,9.2
96,ego,True,False,False,False,False,False,0.283,0.430,,0.840,0.280,0,8.7
96,ours,True,False,False,False,False,False,0.129,1.420,,1.010,0.130,0,10.6
97,ego,True,False,False,False,False,False,0.193,0.190,11.960,1.070,0.480,0,8.3
97,ours,True,False,False,False,False,False,0.744,1.200,6.450,1.810,0.740,0,9.1
98,ego,True,False,False,False,False,False,0.367,0.830,,1.020,0.370,0,9.6
98,ours,True,False,False,False,False,False,0.546,1.220,,1.910,0.550,0,10.3
99,ego,True,False,False,False,False,False,0.358,0.570,1.170,0.360,0.380,0,9.0
99,ours,True,False,False,False,False,False,0.444,1.510,2.300,2.280,0.440,21,9.8
