seed,mode,reached,collided,hit_ped,hit_veh,hit_animal,hit_static,min_clr,ped_clr,veh_clr,animal_clr,static_clr,astar_fail,t_goal
53,ego,True,False,False,False,False,False,1.953,4.280,,1.950,8.400,0,15.6
53,ours,True,False,False,False,False,False,1.869,3.080,,1.870,8.400,0,15.7
54,ego,True,False,False,False,False,False,0.346,1.430,20.800,3.320,0.350,0,15.4
54,ours,True,False,False,False,False,False,0.482,2.140,12.720,3.150,0.480,0,16.4
55,ego,False,True,False,False,False,True,-0.190,0.400,5.100,0.940,-0.190,0,infs
55,ours,False,True,False,False,False,True,-0.328,1.440,3.990,1.850,-0.330,0,infs
56,ego,False,True,False,True,False,False,-0.165,1.150,-0.170,9.460,0.740,0,infs
56,ours,True,False,False,False,False,False,0.532,1.270,2.100,8.260,0.530,1,14.8
57,ego,False,True,False,False,False,True,-0.138,1.000,7.740,3.780,-0.140,0,infs
57,ours,False,True,False,False,False,True,-0.054,1.190,6.510,4.250,-0.050,0,infs
58,ego,False,True,False,False,False,True,-0.298,8.990,3.300,,-0.300,0,infs
58,ours,True,False,False,False,False,False,0.392,2.260,3.290,3.450,0.390,0,15.0
59,ego,True,False,False,False,False,False,0.489,0.490,8.670,1.960,2.480,0,14.1
59,ours,True,False,False,False,False,False,1.347,1.620,8.740,1.680,1.350,0,14.6
60,ego,True,False,False,False,False,False,0.186,1.580,9.880,0.190,0.240,0,15.4
60,ours,True,False,False,False,False,False,0.293,3.060,10.090,1.890,0.290,0,15.9
61,ego,True,False,False,False,False,False,0.403,0.640,3.880,3.640,0.400,0,13.6
61,ours,True,False,False,False,False,False,1.066,1.410,4.070,3.270,1.070,0,13.7
62,ego,True,False,False,False,False,False,0.085,1.370,,1.590,0.090,0,14.5
62,ours,True,False,False,False,False,False,0.474,2.150,,2.320,0.470,0,15.0
63,ego,False,True,False,True,False,False,-0.059,4.530,-0.060,,6.730,0,infs
63,ours,True,False,False,False,False,False,0.335,1.690,1.260,8.820,0.340,489,16.4
64,ego,True,False,False,False,False,False,0.240,0.820,11.160,2.810,0.240,0,12.3
64,ours,False,True,False,False,False,True,-0.006,1.040,20.690,2.350,-0.010,0,infs
65,ego,True,False,False,False,False,False,0.518,1.040,,1.030,0.520,0,15.8
65,ours,True,False,False,False,False,False,0.380,1.250,,3.180,0.380,0,15.8
